year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1828,AL,AL,5,True,Andrew Jackson,Democratic,True,16750,5,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,AL,AL,5,True,John Quincy Adams,National Republican,True,1976,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,CT,CT,8,True,Andrew Jackson,Democratic,True,4488,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,CT,CT,8,True,John Quincy Adams,National Republican,True,13838,8,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,DE,DE,3,False,Andrew Jackson,Democratic,False,,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,DE,DE,3,False,John Quincy Adams,National Republican,True,,3,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,GA,GA,9,True,Andrew Jackson,Democratic,True,17703,9,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,GA,GA,9,True,John Quincy Adams,National Republican,True,605,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,IL,IL,3,True,Andrew Jackson,Democratic,True,9582,3,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,IL,IL,3,True,John Quincy Adams,National Republican,True,4681,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,IN,IN,5,True,Andrew Jackson,Democratic,True,22140,5,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,IN,IN,5,True,John Quincy Adams,National Republican,True,16978,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,KY,KY,14,True,Andrew Jackson,Democratic,True,39085,14,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,KY,KY,14,True,John Quincy Adams,National Republican,True,31456,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
